country_code,iata,latitude,longitude
AE,AAN,24.2617,55.6092
AE,AUH,24.433,54.6511
AE,AYM,24.467,54.6103
AE,AZI,24.4283,54.4581
AE,DHF,24.2482,54.5477
AE,XSB,24.2836,52.5803
AE,ZDY,24.51,52.3352
AE,FJR,25.1122,56.324
AE,SHJ,25.3286,55.5172
AE,DCG,25.2422,55.3314
AE,DJH,24.989,55.0238
AE,DWC,24.8964,55.1614
AE,DXB,25.2528,55.3644
AE,NHD,25.0268,55.3662
AE,RHR,25.691,55.778
AE,RKT,25.6135,55.9388
AF,DAZ,38.4611,70.8825
AF,FBD,37.1211,70.5181
AF,KUR,37.752,-89.0154
AF,KWH,37.883,70.217
AF,SGA,37.567,71.5
AF,LQN,34.985,63.1178
AF,MZR,36.7069,67.2097
AF,BIN,34.817,67.817
AF,FAH,32.367,62.183
AF,MMZ,35.9308,64.7609
AF,GZI,33.5312,68.4129
AF,SBF,33.3207,68.6365
AF,CCN,34.5265,65.271
AF,BST,31.5597,64.365
AF,DWR,31,64
AF,OAZ,31.8638,64.2246
AF,HEA,34.21,62.2283
AF,OAH,33.3913,62.261
AF,ZAJ,30.9722,61.8658
AF,GRG,33.6315,69.2394
AF,KBL,34.5658,69.2131
AF,KDH,31.5058,65.8478
AF,TII,32.6042,65.8658
AF,URZ,32.903,66.6309
AF,KHT,33.3334,69.952
AF,OLR,33.3638,69.9561
AF,UND,36.6651,68.9108
AF,OAA,33.9225,69.0772
AF,JAA,34.3998,70.4986
AF,OAS,33.1258,68.8385
AF,URN,32.9318,69.1563
AF,OAI,34.9461,69.265
AF,TQN,36.7707,69.532
AG,BBQ,17.6358,-61.8286
AG,ANU,17.1367,-61.7927
AI,AXA,18.2048,-63.0551
AL,TIA,41.4147,19.7206
AM,EVN,40.1473,44.3959
AM,LWN,40.7504,43.8593
AO,AZZ,-7.86222,13.1161
AO,NBJ,-9.0491,13.5
AO,BUG,-12.609,13.4037
AO,CBT,-12.4792,13.4869
AO,LLT,-12.3757,13.561
AO,ANL,-11.4723,16.7109
AO,SVP,-12.4046,16.9474
AO,CAB,-5.59699,12.1884
AO,VPE,-17.0435,15.6838
AO,XGN,-16.7554,14.9653
AO,NOV,-12.8089,15.7605
AO,JMB,-14.6982,16.0701
AO,SDD,-14.9247,13.575
AO,CTI,-15.1603,19.1561
AO,DRC,-17.9819,20.7681
AO,SPP,-14.6576,17.7198
AO,NDF,-9.27519,14.9772
AO,CEO,-11.4264,15.1014
AO,NDD,-11.1679,13.8475
AO,PBN,-10.722,13.7655
AO,LAD,-8.85837,13.2312
AO,CFF,-8.78361,17.9897
AO,DUE,-7.40089,20.8185
AO,LBZ,-8.44573,20.7321
AO,LZM,-9.11596,18.0493
AO,NZA,-7.71694,21.3582
AO,PGI,-7.35889,20.8047
AO,VHC,-9.68907,20.4319
AO,KNP,-9.76937,15.4553
AO,MEG,-9.52509,16.3124
AO,CAV,-11.8931,22.9164
AO,CNZ,-13.7106,19.8611
AO,GGC,-14.105,21.45
AO,LUO,-11.7681,19.8977
AO,UAL,-10.7158,22.2311
AO,MSZ,-15.2612,12.1468
AO,GXG,-7.75451,15.2877
AO,UGO,-7.60307,15.0278
AO,ARZ,-7.25944,12.8631
AO,SSY,-6.2699,14.247
AO,SZA,-6.14109,12.3718
AQ,TNM,-62.1908,-58.9867
AR,AEP,-34.5589,-58.4164
AR,BHI,-38.725,-62.1693
AR,CPG,-40.7781,-62.9803
AR,CSZ,-37.4461,-61.8893
AR,EPA,-34.6099,-58.6126
AR,EZE,-34.8222,-58.5358
AR,JNI,-34.5459,-60.9306
AR,LPG,-34.9722,-57.8947
AR,MDQ,-37.9342,-57.5733
AR,MJR,-38.2271,-57.8697
